platform, dataset_size, operation_type, job_id     , duration_seconds, rows_processed, mb_processed, total_exec_time, slot_count, table_name                    , cost_usd  , timestamp
Synapse , tiny        , LOAD_COST     , SUMMARY    ,                 ,               , 25.983000   ,                ,           , LOAD_TOTAL                    , 0.00833300, 2025-06-22 17:55:31
Synapse , tiny        , LOAD          , sy_QID24626,                3,              0, 2.658000    ,                ,         25, load_operation                ,           , 2025-06-22 17:55:31
Synapse , tiny        , LOAD          , sy_QID24641,                1,              0, .968000     ,                ,         25, load_operation                ,           , 2025-06-22 17:55:31
Synapse , tiny        , LOAD          , sy_QID24656,                1,              0, 1.406000    ,                ,         25, load_operation                ,           , 2025-06-22 17:55:31
Synapse , tiny        , LOAD          , sy_QID24671,                4,              0, 4.408000    ,                ,         25, load_operation                ,           , 2025-06-22 17:55:31
Synapse , tiny        , LOAD          , sy_QID24686,                1,              0, 1.140000    ,                ,         25, load_operation                ,           , 2025-06-22 17:55:31
Synapse , tiny        , LOAD          , sy_QID24703,                1,              0, .937000     ,                ,         25, load_operation                ,           , 2025-06-22 17:55:31
Synapse , tiny        , LOAD          , sy_QID24718,                1,              0, 1.203000    ,                ,         25, load_operation                ,           , 2025-06-22 17:55:31
Synapse , tiny        , LOAD          , sy_QID24733,                1,              0, 1.000000    ,                ,         25, load_operation                ,           , 2025-06-22 17:55:31
Synapse , tiny        , LOAD          , sy_QID24748,                2,              0, 1.516000    ,                ,         25, load_operation                ,           , 2025-06-22 17:55:31
Synapse , tiny        , LOAD          , sy_QID24763,                1,              0, 1.062000    ,                ,         25, load_operation                ,           , 2025-06-22 17:55:31
Synapse , tiny        , LOAD          , sy_QID24778,                2,              0, 2.625000    ,                ,         25, load_operation                ,           , 2025-06-22 17:55:31
Synapse , tiny        , LOAD          , sy_QID24793,                1,              0, 1.031000    ,                ,         25, load_operation                ,           , 2025-06-22 17:55:31
Synapse , tiny        , LOAD          , sy_QID24808,                1,              0, .937000     ,                ,         25, load_operation                ,           , 2025-06-22 17:55:31
Synapse , tiny        , LOAD          , sy_QID24823,                1,              0, 1.000000    ,                ,         25, load_operation                ,           , 2025-06-22 17:55:31
Synapse , tiny        , LOAD          , sy_QID24838,                1,              0, .969000     ,                ,         25, load_operation                ,           , 2025-06-22 17:55:31
Synapse , tiny        , LOAD          , sy_QID24855,                1,              0, 1.218000    ,                ,         25, load_operation                ,           , 2025-06-22 17:55:31
Synapse , tiny        , LOAD          , sy_QID24870,                1,              0, .937000     ,                ,         25, load_operation                ,           , 2025-06-22 17:55:31
Synapse , tiny        , LOAD          , sy_QID24885,                1,              0, .968000     ,                ,         25, load_operation                ,           , 2025-06-22 17:55:31
Synapse , tiny        , QUERY_COST    , SUMMARY    ,                 ,               , 17.876000   ,                ,           , QUERY_TOTAL                   , 0.00600000, 2025-06-22 18:36:58
Synapse , tiny        , QUERY         , sy_QID25959,                2,           6622, 1.312000    ,                ,         25, patients_encounters_basic     ,           , 2025-06-22 18:36:58
Synapse , tiny        , QUERY         , sy_QID25968,                5,           5353, 5.781000    ,                ,         50, encounters_medications_complex,           , 2025-06-22 18:36:58
Synapse , tiny        , QUERY         , sy_QID25975,                2,           4429, 1.609000    ,                ,         25, conditions_progression        ,           , 2025-06-22 18:36:58
Synapse , tiny        , QUERY         , sy_QID25982,                9,          96125, 8.986000    ,                ,         50, observations_patients_analysis,           , 2025-06-22 18:36:58
Synapse , tiny        , TRANSFORM_COST, SUMMARY    ,                 ,               , 6.266000    ,                ,           , TRANSFORM_TOTAL               , 0.00199900, 2025-06-22 18:37:56
Synapse , tiny        , TRANSFORM     , sy_QID26011,                2,            116, 2.437000    ,                ,         50, patients_clean                ,           , 2025-06-22 18:37:56
Synapse , tiny        , TRANSFORM     , sy_QID26024,                2,            116, 1.939000    ,                ,         50, medications_normalized        ,           , 2025-06-22 18:37:56
Synapse , tiny        , TRANSFORM     , sy_QID26036,                2,            116, 1.890000    ,                ,         50, procedures_enriched           ,           , 2025-06-22 18:37:56
Synapse , small       , LOAD_COST     , SUMMARY    ,                 ,               , 63.534000   ,                ,           , LOAD_TOTAL                    , 0.02166600, 2025-06-22 20:12:58
Synapse , small       , LOAD          , sy_QID28095,                1,              0, 1.125000    ,                ,         25, load_operation                ,           , 2025-06-22 20:12:58
Synapse , small       , LOAD          , sy_QID28110,                2,              0, 1.624000    ,                ,         25, load_operation                ,           , 2025-06-22 20:12:58
Synapse , small       , LOAD          , sy_QID28125,                4,              0, 3.249000    ,                ,         25, load_operation                ,           , 2025-06-22 20:12:58
Synapse , small       , LOAD          , sy_QID28140,                1,              0, 1.078000    ,                ,         25, load_operation                ,           , 2025-06-22 20:12:58
Synapse , small       , LOAD          , sy_QID28155,                8,              0, 7.550000    ,                ,         25, load_operation                ,           , 2025-06-22 20:12:58
Synapse , small       , LOAD          , sy_QID28170,                1,              0, 1.063000    ,                ,         25, load_operation                ,           , 2025-06-22 20:12:58
Synapse , small       , LOAD          , sy_QID28185,                1,              0, 1.297000    ,                ,         25, load_operation                ,           , 2025-06-22 20:12:58
Synapse , small       , LOAD          , sy_QID28200,                9,              0, 8.501000    ,                ,         25, load_operation                ,           , 2025-06-22 20:12:58
Synapse , small       , LOAD          , sy_QID28215,               26,              0, 25.862000   ,                ,         25, load_operation                ,           , 2025-06-22 20:12:58
Synapse , small       , LOAD          , sy_QID28230,                1,              0, 1.140000    ,                ,         25, load_operation                ,           , 2025-06-22 20:12:58
Synapse , small       , LOAD          , sy_QID28245,                1,              0, 1.406000    ,                ,         25, load_operation                ,           , 2025-06-22 20:12:58
Synapse , small       , LOAD          , sy_QID28260,                2,              0, 1.516000    ,                ,         25, load_operation                ,           , 2025-06-22 20:12:58
Synapse , small       , LOAD          , sy_QID28275,                1,              0, .953000     ,                ,         25, load_operation                ,           , 2025-06-22 20:12:58
Synapse , small       , LOAD          , sy_QID28290,                3,              0, 2.468000    ,                ,         25, load_operation                ,           , 2025-06-22 20:12:58
Synapse , small       , LOAD          , sy_QID28305,                2,              0, 1.796000    ,                ,         25, load_operation                ,           , 2025-06-22 20:12:58
Synapse , small       , LOAD          , sy_QID28320,                2,              0, 2.906000    ,                ,         25, load_operation                ,           , 2025-06-22 20:12:58
Synapse , small       , QUERY_COST    , SUMMARY    ,                 ,               , 206.911000  ,                ,           , QUERY_TOTAL                   , 0.06900000, 2025-06-22 21:07:17
