platform,dataset_size,operation_type,job_id,duration_seconds,mb_processed,total_slots_ms,avg_slot_utilization,table_id,row_count,cost_usd,timestamp
BigQuery,tiny,LOAD_COST,SUMMARY,0.0,78.90023040771484,0.0,0.0,LOAD_TOTAL,,0.000496,2025-06-22 08:07:46
BigQuery,tiny,LOAD,bqjob_r44e4e38a86fe6bb3_0000019796ab3084_1,1.84,0.016936302185058594,363,0.19728260869565217,allergies,100,,2025-06-22 08:04:52
BigQuery,tiny,LOAD,bqjob_r73f5294e2d2541f7_0000019796ab5583_1,2.004,0.08326435089111328,355,0.17714570858283432,careplans,437,,2025-06-22 08:05:00
BigQuery,tiny,LOAD,bqjob_r5467179a96fdb617_0000019796ab7067_1,2.686,4.11042594909668,834,0.3104988830975428,claims,11973,,2025-06-22 08:05:07
BigQuery,tiny,LOAD,bqjob_r3000dcb75fe7925b_0000019796ab907a_1,5.289,49.76309776306152,7730,1.461523917564757,claims_transactions,111049,,2025-06-22 08:05:16
BigQuery,tiny,LOAD,bqjob_r44073ba558564a40_0000019796abb91e_1,1.783,0.649989128112793,789,0.44251261918115536,conditions,4428,,2025-06-22 08:05:26
BigQuery,tiny,LOAD,bqjob_r50afa1a1307e3aa2_0000019796abd37e_1,1.859,0.14449310302734375,145,0.07799892415277031,devices,732,,2025-06-22 08:05:33
BigQuery,tiny,LOAD,bqjob_r2c7919138979940d_0000019796abedd5_1,2.097,1.9811182022094727,458,0.2184072484501669,encounters,6621,,2025-06-22 08:05:39
BigQuery,tiny,LOAD,bqjob_r2b786b34b3cd6f7f_0000019796ac08bd_1,1.634,0.32660388946533203,118,0.07221542227662178,imaging_studies,913,,2025-06-22 08:05:46
BigQuery,tiny,LOAD,bqjob_r5df096d080934b0_0000019796ac2234_1,1.864,0.21688270568847656,117,0.06276824034334764,immunizations,1564,,2025-06-22 08:05:53
BigQuery,tiny,LOAD,bqjob_r7850742560d6d785_0000019796ac3c88_1,1.745,1.2859077453613281,187,0.10716332378223496,medications,5352,,2025-06-22 08:05:59
BigQuery,tiny,LOAD,bqjob_r46d3573e6d61bc43_0000019796ac5e59_1,3.046,15.707666397094727,2724,0.8942875902823375,observations,96124,,2025-06-22 08:06:08
BigQuery,tiny,LOAD,bqjob_r437fe0f576e680ca_0000019796ac7eeb_1,1.586,0.04248046875,245,0.1544766708701135,organizations,283,,2025-06-22 08:06:17
BigQuery,tiny,LOAD,bqjob_r114b800e5820542c_0000019796ac9650_1,1.789,0.032344818115234375,105,0.05869200670765791,patients,116,,2025-06-22 08:06:23
BigQuery,tiny,LOAD,bqjob_r67490664303595ce_0000019796acb106_1,1.565,0.1767406463623047,81,0.05175718849840256,payer_transitions,1158,,2025-06-22 08:06:29
BigQuery,tiny,LOAD,bqjob_r27b4a49c822f6f5_0000019796acca3b_1,1.473,0.001651763916015625,100,0.06788866259334692,payers,10,,2025-06-22 08:06:36
BigQuery,tiny,LOAD,bqjob_r4739a08844fabb71_0000019796ace4c3_1,2.328,3.815567970275879,384,0.16494845360824742,procedures,20252,,2025-06-22 08:06:43
BigQuery,tiny,LOAD,bqjob_r5a15495a851f8342_0000019796acff44_1,1.52,0.05170154571533203,125,0.08223684210526316,providers,283,,2025-06-22 08:06:49
BigQuery,tiny,LOAD,bqjob_r556913fe5fef67b3_0000019796ad1925_1,1.51,0.49335765838623047,85,0.056291390728476824,supplies,3603,,2025-06-22 08:06:56
BigQuery,tiny,QUERY_COST,SUMMARY,0.0,12.263537406921387,0.0,0.0,QUERY_TOTAL,,0.000077,2025-06-22 08:13:11
BigQuery,tiny,QUERY,bqjob_r463b5ce953024ba0_0000019796b225ff_1,1.089,0.6617965698242188,0,0,anon8627bfec_4029_4372_9573_47758271237c,0,,2025-06-22 08:12:28
BigQuery,tiny,QUERY,bqjob_r30dd5d030cfb13ba_0000019796b24c69_1,1.834,1.069253921508789,0,0,anon64c6f318_2d17_4b55_bafc_e1461441f52d,0,,2025-06-22 08:12:37
BigQuery,tiny,QUERY,bqjob_r577174b22a267077_0000019796b2745a_1,1.33,0.36352062225341797,0,0,anon407895be_9179_423b_ad61_11f90ce44743,0,,2025-06-22 08:12:47
BigQuery,tiny,QUERY,bqjob_r70753d2c1862af3c_0000019796b29a56_1,1.848,10.168966293334961,0,0,anond4e4a68f_f837_4ab9_be4f_57e9607365df,0,,2025-06-22 08:12:57
BigQuery,tiny,TRANSFORM_COST,SUMMARY,0.0,4.744104385375977,0.0,0.0,TRANSFORM_TOTAL,,0.000030,2025-06-22 08:15:13
BigQuery,tiny,TRANSFORM,bqjob_r21fbfdf86233ee39_0000019796b3de27_1,1.104,0.011189460754394531,0,0,patients_clean,0,,2025-06-22 08:14:20
BigQuery,tiny,TRANSFORM,bqjob_r13a0b44cd55a4f81_0000019796b41297_1,1.368,0.9173469543457031,0,0,medications_normalized,0,,2025-06-22 08:14:33
BigQuery,tiny,TRANSFORM,bqjob_r6b910647e33c7a18_0000019796b44beb_1,1.378,3.815567970275879,0,0,procedures_enriched,0,,2025-06-22 08:14:48
