platform,dataset_size,operation_type,job_id,duration_seconds,rows_processed,mb_processed,total_exec_time,slot_count,table_name,cost_usd,timestamp
Redshift,large,LOAD_COST,SUMMARY,0.0,0,9232.26,0,0,LOAD_TOTAL,0.4078,2025-06-22T15:56:07
Redshift,large,LOAD,rs_655259,0.284,51593,5.72,0,1,allergies,0.0,2025-06-22 15:56:07
Redshift,large,LOAD,rs_655275,1.723,377727,72.33,1,1,careplans,0.0,2025-06-22 15:56:07
Redshift,large,LOAD,rs_655285,4.38,1143901,134.44,4,1,conditions,0.0,2025-06-22 15:56:07
Redshift,large,LOAD,rs_655285,4.38,0,70.44,4,1,conditions,0.0,2025-06-22 15:56:07
Redshift,large,LOAD,rs_655297,0.303,23695,4.90,0,1,devices,0.0,2025-06-22 15:56:07
Redshift,large,LOAD,rs_655308,47.274,0,64.01,47,1,encounters,0.0,2025-06-22 15:56:07
Redshift,large,LOAD,rs_655308,47.274,0,64.12,47,1,encounters,0.0,2025-06-22 15:56:07
Redshift,large,LOAD,rs_655308,47.274,0,64.11,47,1,encounters,0.0,2025-06-22 15:56:07
Redshift,large,LOAD,rs_655308,47.274,0,64.15,47,1,encounters,0.0,2025-06-22 15:56:07
Redshift,large,LOAD,rs_655308,47.274,0,64.11,47,1,encounters,0.0,2025-06-22 15:56:07
Redshift,large,LOAD,rs_655308,47.274,0,64.11,47,1,encounters,0.0,2025-06-22 15:56:07
Redshift,large,LOAD,rs_655308,47.274,3188676,943.09,47,1,encounters,0.0,2025-06-22 15:56:07
Redshift,large,LOAD,rs_655308,47.274,0,64.14,47,1,encounters,0.0,2025-06-22 15:56:07
Redshift,large,LOAD,rs_655308,47.274,0,64.16,47,1,encounters,0.0,2025-06-22 15:56:07
Redshift,large,LOAD,rs_655308,47.274,0,64.02,47,1,encounters,0.0,2025-06-22 15:56:07
Redshift,large,LOAD,rs_655308,47.274,0,47.09,47,1,encounters,0.0,2025-06-22 15:56:07
Redshift,large,QUERY_COST,SUMMARY,0.0,0,0.56,0,0,QUERY_TOTAL,0.0123,2025-06-22T16:00:53
Redshift,large,QUERY,rs_655524,5.775,0,0.00,5,1,patients_encounters_basic,0.0,2025-06-22 16:00:53
Redshift,large,QUERY,rs_655530,3.624,0,0.00,3,1,general_dataset_query,0.0,2025-06-22 16:00:53
Redshift,large,QUERY,rs_655534,32.066,0,0.00,32,1,encounters_medications_analysis,0.0,2025-06-22 16:00:53
Redshift,large,QUERY,rs_655552,43.879,6144,0.00,43,1,conditions_progression_analysis,0.0,2025-06-22 16:00:53
Redshift,large,TRANSFORM_COST,SUMMARY,0.0,0,36.98,0,0,TRANSFORM_TOTAL,0.0018,2025-06-22T16:57:59
Redshift,large,TRANSFORM,rs_656534,0.293,124150,31.40,0,1,patients_clean,0.0,2025-06-22 16:57:59
Redshift,large,TRANSFORM,rs_656543,21.087,0,0.00,21,1,medications_normalized,0.0,2025-06-22 16:57:59
Redshift,large,TRANSFORM,rs_656558,2.691,0,0.00,2,1,procedures_enriched,0.0,2025-06-22 16:57:59
