platform,dataset_size,operation_type,job_id,duration_seconds,rows_processed,mb_processed,total_exec_time,slot_count,table_name,cost_usd,timestamp
Redshift,small,LOAD_COST,SUMMARY,0.0,0,712.48,0,0,LOAD_TOTAL,0.0082,2025-06-22T14:44:39
Redshift,small,LOAD,rs_653671,0.174,5418,0.60,0,1,allergies,0.0,2025-06-22 14:44:39
Redshift,small,LOAD,rs_653681,0.352,37716,7.22,0,1,careplans,0.0,2025-06-22 14:44:39
Redshift,small,LOAD,rs_653691,5.11,114545,13.46,5,1,conditions,0.0,2025-06-22 14:44:39
Redshift,small,LOAD,rs_653699,0.173,2361,0.49,0,1,devices,0.0,2025-06-22 14:44:39
Redshift,small,LOAD,rs_653709,1.951,321529,95.09,1,1,encounters,0.0,2025-06-22 14:44:39
Redshift,small,LOAD,rs_653722,5.587,4505,1.00,5,1,imaging_studies,0.0,2025-06-22 14:44:39
Redshift,small,LOAD,rs_653734,0.204,16482,2.12,0,1,immunizations,0.0,2025-06-22 14:44:39
Redshift,small,LOAD,rs_653749,9.244,0,33.05,9,1,medications,0.0,2025-06-22 14:44:39
Redshift,small,LOAD,rs_653749,9.244,431263,97.05,9,1,medications,0.0,2025-06-22 14:44:39
Redshift,small,LOAD,rs_653769,14.69,0,64.04,14,1,observations,0.0,2025-06-22 14:44:39
Redshift,small,LOAD,rs_653769,14.69,0,64.10,14,1,observations,0.0,2025-06-22 14:44:39
Redshift,small,LOAD,rs_653769,14.69,0,46.88,14,1,observations,0.0,2025-06-22 14:44:39
Redshift,small,LOAD,rs_653769,14.69,1659751,238.88,14,1,observations,0.0,2025-06-22 14:44:39
Redshift,small,LOAD,rs_653778,0.22,5500,0.79,0,1,organizations,0.0,2025-06-22 14:44:39
Redshift,small,LOAD,rs_653789,9.397,12353,3.36,9,1,patients,0.0,2025-06-22 14:44:39
Redshift,small,LOAD,rs_653807,6.019,41393,3.54,5,1,payer_transitions,0.0,2025-06-22 14:44:39
Redshift,small,QUERY_COST,SUMMARY,0.0,0,23.45,0,0,QUERY_TOTAL,0.0030,2025-06-22T14:46:08
Redshift,small,QUERY,rs_653874,6.106,0,0.00,6,1,patients_encounters_basic,0.0,2025-06-22 14:46:08
Redshift,small,QUERY,rs_653878,6.849,491460,22.73,6,1,general_dataset_query,0.0,2025-06-22 14:46:08
Redshift,small,QUERY,rs_653885,11.256,0,0.00,11,1,encounters_medications_analysis,0.0,2025-06-22 14:46:08
Redshift,small,QUERY,rs_653897,10.594,0,0.00,10,1,conditions_progression_analysis,0.0,2025-06-22 14:46:08
Redshift,small,TRANSFORM_COST,SUMMARY,0.0,0,11.64,0,0,TRANSFORM_TOTAL,0.0013,2025-06-22T15:11:58
Redshift,small,TRANSFORM,rs_654352,0.074,12352,3.12,0,1,patients_clean,0.0,2025-06-22 15:11:58
Redshift,small,TRANSFORM,rs_654367,2.256,0,0.00,2,1,medications_normalized,0.0,2025-06-22 15:11:58
Redshift,small,TRANSFORM,rs_654378,8.697,0,0.00,8,1,procedures_enriched,0.0,2025-06-22 15:11:58
