platform,dataset_size,operation_type,job_id,duration_seconds,rows_processed,mb_processed,total_exec_time,slot_count,table_name,cost_usd,timestamp
Synapse,medium,LOAD_COST,SUMMARY,,,94.449000,,,LOAD_TOTAL,0.03133300,2025-06-22 21:24:49
Synapse,medium,LOAD,sy_QID28939,2,0,1.376000,,25,load_operation,,2025-06-22 21:24:49
Synapse,medium,LOAD,sy_QID28954,1,0,1.156000,,25,load_operation,,2025-06-22 21:24:49
Synapse,medium,LOAD,sy_QID28969,6,0,5.844000,,25,load_operation,,2025-06-22 21:24:49
Synapse,medium,LOAD,sy_QID28990,42,0,42.710000,,25,load_operation,,2025-06-22 21:24:49
Synapse,medium,LOAD,sy_QID29007,2,0,1.843000,,25,load_operation,,2025-06-22 21:24:49
Synapse,medium,LOAD,sy_QID29022,2,0,1.687000,,25,load_operation,,2025-06-22 21:24:49
Synapse,medium,LOAD,sy_QID29039,2,0,2.859000,,25,load_operation,,2025-06-22 21:24:49
Synapse,medium,LOAD,sy_QID29054,5,0,5.549000,,25,load_operation,,2025-06-22 21:24:49
Synapse,medium,LOAD,sy_QID29069,1,0,1.296000,,25,load_operation,,2025-06-22 21:24:49
Synapse,medium,LOAD,sy_QID29084,2,0,2.468000,,25,load_operation,,2025-06-22 21:24:49
Synapse,medium,LOAD,sy_QID29101,15,0,15.195000,,25,load_operation,,2025-06-22 21:24:49
Synapse,medium,LOAD,sy_QID29116,2,0,1.828000,,25,load_operation,,2025-06-22 21:24:49
Synapse,medium,LOAD,sy_QID29133,2,0,1.109000,,25,load_operation,,2025-06-22 21:24:49
Synapse,medium,LOAD,sy_QID29148,1,0,1.187000,,25,load_operation,,2025-06-22 21:24:49
Synapse,medium,LOAD,sy_QID29163,1,0,1.125000,,25,load_operation,,2025-06-22 21:24:49
Synapse,medium,LOAD,sy_QID29178,5,0,4.562000,,25,load_operation,,2025-06-22 21:24:49
Synapse,medium,LOAD,sy_QID29193,1,0,.984000,,25,load_operation,,2025-06-22 21:24:49
Synapse,medium,LOAD,sy_QID29208,2,0,1.671000,,25,load_operation,,2025-06-22 21:24:49
Synapse,medium,QUERY_COST,SUMMARY,,,155.855000,,,QUERY_TOTAL,0.05233300,2025-06-22 21:40:18
Synapse,medium,QUERY,sy_QID29503,11,6622,10.532000,,50,patients_encounters_basic,,2025-06-22 21:40:18
Synapse,medium,QUERY,sy_QID29520,20,5353,19.489000,,75,encounters_medications_complex,,2025-06-22 21:40:18
Synapse,medium,QUERY,sy_QID29530,7,4429,7.095000,,50,conditions_progression,,2025-06-22 21:40:18
Synapse,medium,QUERY,sy_QID29543,119,96125,118.551000,,85,observations_patients_analysis,,2025-06-22 21:40:18
Synapse,medium,TRANSFORM_COST,SUMMARY,,,14.750000,,,TRANSFORM_TOTAL,0.00466600,2025-06-22 21:41:42
Synapse,medium,TRANSFORM,sy_QID29578,3,116,3.813000,,50,patients_clean,,2025-06-22 21:41:42
Synapse,medium,TRANSFORM,sy_QID29596,6,116,6.187000,,50,medications_normalized,,2025-06-22 21:41:42
Synapse,medium,TRANSFORM,sy_QID29612,5,116,4.750000,,50,procedures_enriched,,2025-06-22 21:41:42
